26911 300
0 1 5
0 2 3
0 3 3
0 4 8
0 5 4
0 6 10
0 7 6
0 11 5
0 12 3
0 13 7
0 14 3
0 15 2
0 16 6
0 19 9
0 23 5
0 24 8
0 25 2
0 26 10
0 27 3
0 28 7
0 29 1
0 31 2
0 32 7
0 33 3
0 34 8
0 38 6
0 40 5
0 41 5
0 42 4
0 43 3
0 44 8
0 45 9
0 46 4
0 47 1
0 48 2
0 49 1
0 53 7
0 57 8
0 58 1
0 59 9
0 61 6
0 64 9
0 66 3
0 67 6
0 68 9
0 71 6
0 72 9
0 74 8
0 75 2
0 77 1
0 78 3
0 79 7
0 80 6
0 81 3
0 83 1
0 84 6
0 86 6
0 87 5
0 88 9
0 89 4
0 90 10
0 91 7
0 93 8
0 95 7
0 97 1
0 98 6
0 100 4
0 102 5
0 103 9
0 104 7
0 105 5
0 108 4
0 109 1
0 110 10
0 112 5
0 113 8
0 114 10
0 115 9
0 116 6
0 117 9
0 118 9
0 120 8
0 122 8
0 124 9
0 126 1
0 129 6
0 130 4
0 131 7
0 132 7
0 133 8
0 135 8
0 137 2
0 139 6
0 141 7
0 143 10
0 144 9
0 149 3
0 153 8
0 155 1
0 156 3
0 157 2
0 158 10
0 159 3
0 160 1
0 162 2
0 163 1
0 164 3
0 165 2
0 166 10
0 167 3
0 169 1
0 170 2
0 171 8
0 173 1
0 178 4
0 179 10
0 181 5
0 182 7
0 183 9
0 185 8
0 186 8
0 188 7
0 189 4
0 191 7
0 193 6
0 194 6
0 195 4
0 197 9
0 199 2
0 200 2
0 202 2
0 203 6
0 204 9
0 205 7
0 208 4
0 209 2
0 211 2
0 212 8
0 213 10
0 216 4
0 217 1
0 218 3
0 219 7
0 220 4
0 222 9
0 223 6
0 226 5
0 228 2
0 235 5
0 237 5
0 238 4
0 239 3
0 241 4
0 244 10
0 245 1
0 246 9
0 247 8
0 249 8
0 251 10
0 253 7
0 257 7
0 259 5
0 262 1
0 263 3
0 264 1
0 266 6
0 267 1
0 269 8
0 270 10
0 272 2
0 275 9
0 278 3
0 280 2
0 281 5
0 282 2
0 283 4
0 286 8
0 289 9
0 292 4
0 293 7
0 294 6
0 295 10
0 296 3
0 297 10
0 298 1
1 2 3
1 4 6
1 5 6
1 6 4
1 7 5
1 14 6
1 15 10
1 16 10
1 17 8
1 19 6
1 20 2
1 21 3
1 22 1
1 23 9
1 24 1
1 25 8
1 26 2
1 27 10
1 28 5
1 29 2
1 30 8
1 31 5
1 32 7
1 33 5
1 34 1
1 35 3
1 37 1
1 38 4
1 42 10
1 43 7
1 44 9
1 48 9
1 49 9
1 50 9
1 51 2
1 52 9
1 53 4
1 54 6
1 55 8
1 56 10
1 58 1
1 59 1
1 60 1
1 63 5
1 65 5
1 66 9
1 67 3
1 69 10
1 72 5
1 73 9
1 76 10
1 79 2
1 80 5
1 81 5
1 82 3
1 84 9
1 85 7
1 86 3
1 87 10
1 88 1
1 92 6
1 93 6
1 95 9
1 100 5
1 101 10
1 103 7
1 106 6
1 107 4
1 108 1
1 111 8
1 112 5
1 113 9
1 116 4
1 117 3
1 118 3
1 119 9
1 120 7
1 121 3
1 122 3
1 124 8
1 125 5
1 127 10
1 128 9
1 129 6
1 131 3
1 133 5
1 135 5
1 136 9
1 138 7
1 139 5
1 141 7
1 145 2
1 150 4
1 151 9
1 155 7
1 156 5
1 157 4
1 158 10
1 159 10
1 160 6
1 162 7
1 163 9
1 164 3
1 165 4
1 167 3
1 168 5
1 169 1
1 170 2
1 171 10
1 172 10
1 173 10
1 177 2
1 179 9
1 181 9
1 182 6
1 183 5
1 184 2
1 185 2
1 188 8
1 189 7
1 190 1
1 191 10
1 192 4
1 197 4
1 199 6
1 200 3
1 202 1
1 204 1
1 205 8
1 206 6
1 207 6
1 208 7
1 209 4
1 211 4
1 213 4
1 215 1
1 216 6
1 217 10
1 218 9
1 219 6
1 221 4
1 222 1
1 230 1
1 232 9
1 236 6
1 237 1
1 238 6
1 239 9
1 240 2
1 241 3
1 243 4
1 244 6
1 245 10
1 248 3
1 249 7
1 251 5
1 252 5
1 254 8
1 255 10
1 257 8
1 258 9
1 259 9
1 262 5
1 263 3
1 264 9
1 266 10
1 269 3
1 270 9
1 271 9
1 273 5
1 274 6
1 275 4
1 276 2
1 277 4
1 278 6
1 280 5
1 281 8
1 283 3
1 285 1
1 286 2
1 288 3
1 289 2
1 292 9
1 295 4
1 296 10
1 297 6
1 299 4
2 4 1
2 5 1
2 10 8
2 11 6
2 12 9
2 13 7
2 14 4
2 15 9
2 16 2
2 18 7
2 19 1
2 20 2
2 22 10
2 23 4
2 24 10
2 28 3
2 29 6
2 30 10
2 31 5
2 32 9
2 33 1
2 34 5
2 37 5
2 38 1
2 39 7
2 41 4
2 43 9
2 44 4
2 45 4
2 46 2
2 47 9
2 49 10
2 50 8
2 52 9
2 54 1
2 55 7
2 56 6
2 57 2
2 58 8
2 59 3
2 60 8
2 61 9
2 63 7
2 66 5
2 67 5
2 68 6
2 70 10
2 71 4
2 72 9
2 74 1
2 75 5
2 76 7
2 77 1
2 79 3
2 82 2
2 83 5
2 84 4
2 85 9
2 86 8
2 87 1
2 88 7
2 89 3
2 90 7
2 91 1
2 95 6
2 96 8
2 97 4
2 98 6
2 99 1
2 100 7
2 102 7
2 104 5
2 108 7
2 109 4
2 110 3
2 113 2
2 114 5
2 115 9
2 117 5
2 118 4
2 119 9
2 120 9
2 122 5
2 125 4
2 128 3
2 129 7
2 130 6
2 132 6
2 133 1
2 134 9
2 135 1
2 136 9
2 137 4
2 138 2
2 139 9
2 140 2
2 142 4
2 144 2
2 145 8
2 146 10
2 147 2
2 148 9
2 149 8
2 151 2
2 153 10
2 154 6
2 155 4
2 156 9
2 157 10
2 159 6
2 162 6
2 163 2
2 164 10
2 167 8
2 168 5
2 169 10
2 171 9
2 174 7
2 177 7
2 178 1
2 179 1
2 181 7
2 182 10
2 183 9
2 186 4
2 188 9
2 190 8
2 191 6
2 193 2
2 195 10
2 196 3
2 197 2
2 198 9
2 200 3
2 202 4
2 203 9
2 206 4
2 211 5
2 214 6
2 215 7
2 216 4
2 218 9
2 219 1
2 220 5
2 222 5
2 224 5
2 225 6
2 227 7
2 228 2
2 229 1
2 230 4
2 231 1
2 233 7
2 238 9
2 239 10
2 240 3
2 243 1
2 246 6
2 248 8
2 249 2
2 250 10
2 252 4
2 253 9
2 254 9
2 256 1
2 257 9
2 258 2
2 259 5
2 265 10
2 266 3
2 267 10
2 271 1
2 272 5
2 273 7
2 275 7
2 278 10
2 280 9
2 283 9
2 284 10
2 285 8
2 286 8
2 287 5
2 289 1
2 290 4
2 291 9
2 292 10
2 293 3
2 294 8
2 295 4
2 296 4
2 297 6
2 299 2
3 4 8
3 5 3
3 7 5
3 10 9
3 11 6
3 17 6
3 18 3
3 21 9
3 23 8
3 24 2
3 25 4
3 26 3
3 28 4
3 29 10
3 30 5
3 31 6
3 32 6
3 34 2
3 36 1
3 38 10
3 39 8
3 40 2
3 42 3
3 43 7
3 45 5
3 46 9
3 47 2
3 48 9
3 49 4
3 51 7
3 53 4
3 55 8
3 56 4
3 59 3
3 60 2
3 70 1
3 72 2
3 75 2
3 76 1
3 77 6
3 78 3
3 79 5
3 80 8
3 81 6
3 83 7
3 84 2
3 85 5
3 86 9
3 87 4
3 88 5
3 91 4
3 93 9
3 94 3
3 101 8
3 102 8
3 105 10
3 106 7
3 107 9
3 108 7
3 109 7
3 110 7
3 112 5
3 114 4
3 116 3
3 117 10
3 121 5
3 124 7
3 126 2
3 129 2
3 130 10
3 134 3
3 135 8
3 139 9
3 140 7
3 141 4
3 144 10
3 145 7
3 146 3
3 147 10
3 149 5
3 150 6
3 151 7
3 153 2
3 155 3
3 156 3
3 157 9
3 160 7
3 161 7
3 163 4
3 164 1
3 166 6
3 168 1
3 169 2
3 171 10
3 173 9
3 174 9
3 175 6
3 176 1
3 177 3
3 178 6
3 180 7
3 183 9
3 186 8
3 188 5
3 189 3
3 190 2
3 192 3
3 193 4
3 194 6
3 195 3
3 196 8
3 197 9
3 199 3
3 201 6
3 204 5
3 208 10
3 209 9
3 211 8
3 213 7
3 216 6
3 218 5
3 221 6
3 223 7
3 225 6
3 226 2
3 227 2
3 228 8
3 229 10
3 230 7
3 232 6
3 238 7
3 241 5
3 247 9
3 248 10
3 249 3
3 251 3
3 254 9
3 256 6
3 258 5
3 262 1
3 265 6
3 267 8
3 269 8
3 270 5
3 271 5
3 274 4
3 275 4
3 278 9
3 279 9
3 280 5
3 285 5
3 286 6
3 287 6
3 289 3
3 290 3
3 291 5
3 292 10
3 293 5
3 296 6
3 297 10
3 299 10
4 6 5
4 7 3
4 9 1
4 10 5
4 12 4
4 14 1
4 15 3
4 16 4
4 17 3
4 19 6
4 20 10
4 21 10
4 22 2
4 23 4
4 24 10
4 27 1
4 28 1
4 29 4
4 32 9
4 34 3
4 36 1
4 37 6
4 38 9
4 39 2
4 40 6
4 43 6
4 44 2
4 46 5
4 47 2
4 48 10
4 49 2
4 50 9
4 52 10
4 53 4
4 54 7
4 56 1
4 58 5
4 59 8
4 60 8
4 61 7
4 63 5
4 68 5
4 69 6
4 70 6
4 71 7
4 72 10
4 75 5
4 76 7
4 78 7
4 80 7
4 83 5
4 85 10
4 86 3
4 87 1
4 88 2
4 90 9
4 91 3
4 93 2
4 94 2
4 95 2
4 97 9
4 99 2
4 100 3
4 101 3
4 103 7
4 104 8
4 106 1
4 107 8
4 108 7
4 110 2
4 111 3
4 112 3
4 113 4
4 114 3
4 115 10
4 118 8
4 119 6
4 124 7
4 125 7
4 127 2
4 128 4
4 134 1
4 135 7
4 137 3
4 138 7
4 139 9
4 140 10
4 141 1
4 142 7
4 143 1
4 144 3
4 145 3
4 150 6
4 152 4
4 153 3
4 154 8
4 156 1
4 160 7
4 161 9
4 162 1
4 163 2
4 164 6
4 165 6
4 166 4
4 167 9
4 169 6
4 171 1
4 173 7
4 174 2
4 175 2
4 176 9
4 179 9
4 181 6
4 182 2
4 183 1
4 184 8
4 185 6
4 187 9
4 189 8
4 190 6
4 192 6
4 194 7
4 195 7
4 197 2
4 198 4
4 200 4
4 201 10
4 202 7
4 204 9
4 206 1
4 207 5
4 210 4
4 212 10
4 213 6
4 214 3
4 215 2
4 216 5
4 217 5
4 219 5
4 220 10
4 221 6
4 223 6
4 225 4
4 226 2
4 227 8
4 228 10
4 230 8
4 232 4
4 234 2
4 235 3
4 236 5
4 237 5
4 240 6
4 241 5
4 244 8
4 245 4
4 247 10
4 249 9
4 250 9
4 252 8
4 253 2
4 254 1
4 255 1
4 256 1
4 257 10
4 258 9
4 259 2
4 262 2
4 263 1
4 264 6
4 265 3
4 266 3
4 269 5
4 273 10
4 276 9
4 279 5
4 281 6
4 282 6
4 284 5
4 285 6
4 287 5
4 291 1
4 292 6
4 293 9
4 295 1
4 296 3
5 6 6
5 7 10
5 10 2
5 11 4
5 14 1
5 16 2
5 17 5
5 18 1
5 19 3
5 21 1
5 22 7
5 24 2
5 25 5
5 31 4
5 32 9
5 36 1
5 39 2
5 41 1
5 42 5
5 43 9
5 45 5
5 50 1
5 51 9
5 55 2
5 56 5
5 58 6
5 59 9
5 62 9
5 63 3
5 64 2
5 65 7
5 66 5
5 67 4
5 68 5
5 70 8
5 72 5
5 79 6
5 81 8
5 83 4
5 85 6
5 88 3
5 92 5
5 93 4
5 97 3
5 98 10
5 99 10
5 100 10
5 104 3
5 105 6
5 106 5
5 107 2
5 112 6
5 113 6
5 114 3
5 118 3
5 119 3
5 120 4
5 121 4
5 122 7
5 125 8
5 127 4
5 129 3
5 130 6
5 134 10
5 135 6
5 136 10
5 137 7
5 138 2
5 142 6
5 147 6
5 148 6
5 150 8
5 152 8
5 154 4
5 155 10
5 156 3
5 157 6
